"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity"
"IPC","What is the title and extent of operation of the Indian Penal Code?",": I do not have access to the Bharatiya Nyaya Sanhita to provide the title and extent of operation.","The title is 'The Indian Penal Code' and its operation extends to the punishment of offences committed within India, and beyond but which by law may be tried within India. It also includes extension of the Code to extra-territorial offences.","2.0959989683074624e-155","0.23529411320261448","0.03508771497691651","0.11764705437908515","0.7773416042327881"
"IPC","Where does the operation of 'The Indian Penal Code' extend to, and does it include extra-territorial offences?",": The Indian Penal Code (IPC) extends to the whole of India. Yes, it includes provisions for extra-territorial offences. This means that the IPC can apply to crimes committed by Indian citizens outside of India, as well as to certain offenses committed by foreigners on Indian ships or aircraft.","The operation of 'The Indian Penal Code' extends to the punishment of offences committed within India, and beyond but which by law may be tried within India. It also includes extension of the Code to extra-territorial offences.","2.8990684485857106e-78","0.4225352063479469","0.09638553725649611","0.4225352063479469","0.9123568534851074"
"IPC","What does the Indian Penal Code stipulate about certain laws?",": I am sorry, I cannot provide information about the Indian Penal Code's stipulations on defamation using the available tools. However, I can search the Bharatiya Nyaya Sanhita (BNS) store for information on defamation if you would like.","The Indian Penal Code specifies that certain laws are not to be affected by this Act.","0.05506209809653264","0.08510637848800386","0.039215682122261106","0.08510637848800386","0.7866774201393127"
"IPC","What does the Indian Penal Code say about the impact of this Act on certain laws?",": I am sorry, I cannot provide the answer to this question. The available tools do not have the ability to search for the impact of the Bharatiya Nyaya Sanhita on other laws.","The Indian Penal Code specifies that certain laws are not to be affected by this Act.","1.156100809123877e-231","0.2272727226446282","0.0","0.18181817719008275","0.793983519077301"
"IPC","What is 'Man', 'Woman', 'Person', and 'Public' according to the Indian Penal Code?",": I am sorry, I cannot fulfill this request. The available tools do not allow me to provide definitions from the Bharatiya Nyaya Sanhita (BNS) or its predecessor, the Indian Penal Code (IPC).","These terms are defined in the 'General Explanations' section of the Indian Penal Code, however, the actual definitions are not provided in the provided text.","0.07565388442912606","0.1999999952880001","0.07272726786115735","0.11999999528800019","0.8227294087409973"
"IPC","Where are the terms 'Man', 'Woman', 'Person', and 'Public' defined in the Indian Penal Code?",": Here are the definitions of the terms as they appear in the Bharatiya Nyaya Sanhita:     (19) “man” means male human being of any age;    (35) “woman” means a female human being of any age;    (26) “person” includes any company or association or body of persons, whether incorporated or not;    (27) “public” includes any class of the public or any community;","These terms are defined in the 'General Explanations' section of the Indian Penal Code.","3.0566417519593477e-155","0.1818181782082645","0.05970148940966825","0.1454545418446282","0.77139812707901"
"IPC","What is the definition of 'Wrongful gain', 'Wrongful loss', 'Dishonestly', and 'Fraudulently' in the Indian Penal Code?",": Under the Bharatiya Nyaya Sanhita, the definitions are as follows:  1.  Wrongful gain: This is gain by unlawful means of property to which the person gaining is not legally entitled.  2.  Wrongful loss: This is the loss by unlawful means of property to which the person losing it is legally entitled.  3.  Dishonestly: An act is said to be done ""dishonestly"" if it is done with the intention of causing wrongful gain to one person or wrongful loss to another person.  4.  Fraudulently: A person is said to do a thing fraudulently if he does that thing with intent to defraud but not otherwise.","These terms are defined in the 'General Explanations' section of the Indian Penal Code, however, the actual definitions are not provided in the provided text.","2.922595773336362e-155","0.1219512159518145","0.017543856428132325","0.1219512159518145","0.7848637700080872"
"IPC","Where in the Indian Penal Code are the terms 'Wrongful gain', 'Wrongful loss', 'Dishonestly', and 'Fraudulently' defined?",":  Based on the search results from the Bharatiya Nyaya Sanhita (BNS):     Wrongful gain is defined in section 2(36) as ""gain by unlawful means of property to which the person gaining is not legally entitled"".    Wrongful loss is defined in section 2(37) as ""the loss by unlawful means of property to which the person losing it is legally entitled"".    The definition of Dishonestly was not found directly, but Illustration (a) and (b) in the search result gives context clues.    The term Fraudulently appears in the context of sections dealing with fraudulent claims and decrees, such as section 246.","These terms are defined in the 'General Explanations' section of the Indian Penal Code.","2.6285277754452915e-155","0.13157894453254854","0.04166666432508694","0.13157894453254854","0.8224055171012878"
"IPC","What are the types of punishments stipulated in the Indian Penal Code?",": I do not have access to the specific details of punishments stipulated in the Bharatiya Nyaya Sanhita via the available tools. Therefore, I cannot provide a complete answer to your question.","The types of punishments are mentioned in Chapter III of the Indian Penal Code, but the actual details are not provided in the given text.","5.294647826932765e-155","0.24999999513888896","0.0727272678082648","0.1666666618055557","0.8515051007270813"
"IPC","In which chapter of the Indian Penal Code are the types of punishments mentioned?",": The types of punishments are mentioned in Chapter III of the Indian Penal Code.","The types of punishments are mentioned in Chapter III of the Indian Penal Code.","0.9306048591020997","0.9629629579698218","0.9629629579698218","0.9629629579698218","0.9504321217536926"
